Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.4829E-05,5.137E-18,-0.058689,0,0,0,0.23634,0.00031697,-1.1862E-20,-5.7168E-07,0.00025035,-1.0778E-20,0.00019351,0,0,0,0,0,0,package://finray_2f/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://finray_2f/meshes/base_link.STL,,hand_base_2f-1,base_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_left,0.016251,-0.033233,-1.6914E-17,0,0,0,0.039598,4.5174E-05,-3.3076E-07,5.4584E-22,7.2061E-06,1.7863E-20,4.9186E-05,0,0,0,0,0,0,package://finray_2f/meshes/finger_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://finray_2f/meshes/finger_left.STL,,finray-finger-1,left_finger_cord,left_axis,finger_left_joint,revolute,-0.0005,-0.056,-0.014,-1.5708,-0.2618,1.5708,base_link,0,0,1,0.785,0.785,0,0.785,,,,,,,,
finger_right,-0.016251,0.033233,-5.5294E-18,0,0,0,0.039598,4.5174E-05,-3.3076E-07,-3.7581E-22,7.2061E-06,-1.642E-20,4.9186E-05,0,0,0,0,0,0,package://finray_2f/meshes/finger_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://finray_2f/meshes/finger_right.STL,,finray-finger-2,right_finger_cord,right_axis,finger_right_joint,revolute,-0.0005,0.056,-0.014,1.5708,0.2618,1.5708,base_link,0,0,1,0.785,0.785,0,0.785,,,,,,,,
