Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.9094E-05,-5.6139E-11,-0.054482,0,0,0,0.26864,0.00035653,6.8574E-13,-9.7436E-07,0.00035023,5.4915E-13,0.00024574,0,0,0,0,0,0,package://finray3f/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://finray3f/meshes/base_link.STL,,hand_base_3f-1,base_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1_link,-0.016251,0.033233,3.374E-20,0,0,0,0.039598,4.5174E-05,-3.3076E-07,-2.0391E-21,7.2061E-06,-4.632E-21,4.9186E-05,0,0,0,0,0,0,package://finray3f/meshes/finger_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://finray3f/meshes/finger_1_link.STL,,finray-finger-3,cord_1,axis_1,finger_1_joint,revolute,0.056,0,-0.014,1.5708,0.2618,0,base_link,0,0,1,0.785,0.785,0,0.785,,,,,,,,
finger_2_link,-0.016251,0.033233,-1.7347E-17,0,0,0,0.039598,4.5174E-05,-3.3076E-07,1.6941E-21,7.2061E-06,-1.7523E-20,4.9186E-05,0,0,0,0,0,0,package://finray3f/meshes/finger_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://finray3f/meshes/finger_2_link.STL,,finray-finger-1,cord_2,axis_2,finger_2_joint,revolute,-0.028,0.048497,-0.014,1.5708,0.2618,2.0944,base_link,0,0,1,0.785,0.785,0,0.785,,,,,,,,
finger_3_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://finray3f/meshes/finger_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://finray3f/meshes/finger_3_link.STL,,finray-finger-2,cord_3,axis_3,finger_3_joint,revolute,-0.028,-0.048497,-0.014,-1.5708,-0.2618,1.0472,base_link,0,0,1,0.785,0.785,0,0.785,,,,,,,,
